case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,Check application form completeness,2023-04-20 08:00:00+00:00,2023-04-20 08:07:00.216520110+00:00,0,Clerk-000001
0,1,Check credit history,2023-04-20 08:07:00.216520110+00:00,2023-04-20 08:42:49.198526386+00:00,1,Clerk-000002
1,4,Check application form completeness,2023-04-20 08:30:00+00:00,2023-04-20 08:42:08.991770713+00:00,2,Clerk-000003
0,2,AML check,2023-04-20 08:42:49.198526386+00:00,2023-04-20 09:41:14.137945700+00:00,3,AML Investigator-000001
1,5,Check credit history,2023-04-20 08:42:08.991770713+00:00,2023-04-20 09:41:20.466974767+00:00,4,Clerk-000004
2,8,Check application form completeness,2023-04-20 09:00:00+00:00,2023-04-20 09:03:38.151278973+00:00,5,Clerk-000005
0,3,Appraise property,2023-04-20 09:41:14.137945700+00:00,2023-04-20 09:45:55.936188990+00:00,6,Appraiser-000001
2,6,Appraise property,2023-04-20 09:03:38.151278973+00:00,2023-04-20 09:05:47.225819589+00:00,7,Appraiser-000002
3,9,Check application form completeness,2023-04-20 09:30:00+00:00,2023-04-20 09:50:22.779623782+00:00,8,Clerk-000006
1,6,Appraise property,2023-04-20 09:41:20.466974767+00:00,2023-04-20 10:26:22.365146017+00:00,9,Appraiser-000002
0,11,Assess loan risk,2023-04-20 09:45:55.936188990+00:00,2023-04-20 10:05:55.936188990+00:00,10,Loan Officer-000001
2,7,AML check,2023-04-20 09:05:47.225819589+00:00,2023-04-20 10:21:30.429611147+00:00,11,AML Investigator-000002
3,2,AML check,2023-04-20 09:50:22.779623782+00:00,2023-04-20 10:42:08.788346223+00:00,12,AML Investigator-000001
4,10,Check application form completeness,2023-04-20 10:00:00+00:00,2023-04-20 10:00:02.227914424+00:00,13,Clerk-000007
0,12,Reject application,2023-04-20 10:05:55.936188990+00:00,2023-04-20 10:15:55.936188990+00:00,14,Clerk-000008
1,7,AML check,2023-04-20 10:26:22.365146017+00:00,2023-04-20 10:39:01.968157344+00:00,15,AML Investigator-000002
4,3,Appraise property,2023-04-20 10:00:02.227914424+00:00,2023-04-20 11:10:10.557732718+00:00,16,Appraiser-000001
5,0,Check application form completeness,2023-04-20 10:30:00+00:00,2023-04-20 10:37:03.223191511+00:00,17,Clerk-000001
1,13,Assess loan risk,2023-04-20 10:39:01.968157344+00:00,2023-04-20 10:59:01.968157344+00:00,18,Loan Officer-000002
3,6,Appraise property,2023-04-20 10:42:08.788346223+00:00,2023-04-20 10:48:39.114449793+00:00,19,Appraiser-000002
2,4,Check credit history,2023-04-20 10:21:30.429611147+00:00,2023-04-20 11:19:08.644235877+00:00,20,Clerk-000003
3,1,Check credit history,2023-04-20 10:48:39.114449793+00:00,2023-04-20 10:53:23.557486165+00:00,22,Clerk-000002
1,8,Reject application,2023-04-20 10:59:01.968157344+00:00,2023-04-20 11:09:01.968157344+00:00,23,Clerk-000005
4,5,Check credit history,2023-04-20 11:10:10.557732718+00:00,2023-04-20 11:13:38.352184180+00:00,24,Clerk-000004
3,15,Assess loan risk,2023-04-20 10:53:23.557486165+00:00,2023-04-20 11:13:23.557486165+00:00,25,Loan Officer-000003
6,9,Check application form completeness,2023-04-20 11:00:00+00:00,2023-04-20 11:31:09.867353426+00:00,26,Clerk-000006
4,7,AML check,2023-04-20 11:13:38.352184180+00:00,2023-04-20 11:35:09.968696521+00:00,27,AML Investigator-000002
2,16,Assess loan risk,2023-04-20 11:19:08.644235877+00:00,2023-04-20 11:39:08.644235877+00:00,28,Loan Officer-000004
5,6,Appraise property,2023-04-20 11:10:10.557732718+00:00,2023-04-20 11:12:54.337239736+00:00,29,Appraiser-000002
3,11,Design loan offer,2023-04-20 11:13:23.557486165+00:00,2023-04-20 11:13:43.417052868+00:00,30,Loan Officer-000001
7,10,Check application form completeness,2023-04-20 11:30:00+00:00,2023-04-20 11:33:30.223154328+00:00,31,Clerk-000007
6,12,Check credit history,2023-04-20 11:31:09.867353426+00:00,2023-04-20 11:46:44.150687664+00:00,32,Clerk-000008
4,13,Assess loan risk,2023-04-20 11:35:09.968696521+00:00,2023-04-20 11:55:09.968696521+00:00,33,Loan Officer-000002
2,15,Design loan offer,2023-04-20 11:39:08.644235877+00:00,2023-04-20 11:58:49.103560231+00:00,34,Loan Officer-000003
5,0,Check credit history,2023-04-20 11:12:54.337239736+00:00,2023-04-20 11:41:07.670033730+00:00,35,Clerk-000001
3,14,Approve loan offer,2023-04-20 11:13:43.417052868+00:00,2023-04-20 11:33:43.417052868+00:00,36,Senior Officer-000001
7,2,AML check,2023-04-20 11:33:30.223154328+00:00,2023-04-20 12:15:34.554009104+00:00,37,AML Investigator-000001
6,3,Appraise property,2023-04-20 11:46:44.150687664+00:00,2023-04-20 12:06:12.503158833+00:00,38,Appraiser-000001
4,11,Design loan offer,2023-04-20 11:55:09.968696521+00:00,2023-04-20 11:58:22.306550163+00:00,39,Loan Officer-000001
2,17,Approve loan offer,2023-04-20 11:58:49.103560231+00:00,2023-04-20 12:18:49.103560231+00:00,40,Senior Officer-000002
3,1,Approve application,2023-04-20 11:33:43.417052868+00:00,2023-04-20 11:38:43.417052868+00:00,41,Clerk-000002
